LON,LAT,REGIME
-3.5,56.5,TF
8.5,37.0,TF
28.0,44.5,TF
-3.5,47.5,TF
14.5,47.5,TF
37.0,38.5,NF
-6.5,53.5,NF
40.0,35.5,NF
10.0,43.0,TF
16.0,49.0,TF
5.5,56.5,TF
43.0,40.0,NF
4.0,56.5,TF
23.5,38.5,NF
20.5,40.0,NF
44.5,43.0,SS
19.0,52.0,NF
13.0,41.5,TF
-3.5,41.5,SS
25.0,43.0,TF
-3.5,40.0,TF
31.0,38.5,NF
40.0,44.5,TF
37.0,43.0,TF
4.0,43.0,TF
-2.0,52.0,SS
10.0,49.0,TF
2.5,55.0,TF
8.5,50.5,TF
4.0,49.0,SS
-9.5,38.5,NF
1.0,35.5,NF
20.5,53.5,TF
-3.5,50.5,NF
1.0,56.5,TF
10.0,55.0,NF
4.0,38.5,TF
16.0,43.0,TF
22.0,41.5,NF
-2.0,50.5,TF
-0.5,38.5,NF
44.5,41.5,TF
31.0,40.0,TF
-3.5,55.0,NF
-8.0,53.5,NF
14.5,56.5,NF
37.0,37.0,NF
14.5,40.0,TF
43.0,37.0,SS
11.5,53.5,TF
-3.5,46.0,SS
29.5,43.0,SS
-5.0,40.0,TF
-6.5,47.5,SS
14.5,58.0,NF
23.5,47.5,SS
41.5,44.5,NF
11.5,41.5,TF
2.5,43.0,TF
22.0,35.5,SS
44.5,40.0,TF
10.0,38.5,TF
10.0,58.0,SS
29.5,44.5,TF
8.5,46.0,NF
28.0,37.0,NF
4.0,40.0,TF
-2.0,44.5,TF
-9.5,41.5,NF
23.5,37.0,NF
4.0,53.5,TF
11.5,40.0,TF
22.0,40.0,NF
41.5,43.0,TF
-6.5,38.5,NF
13.0,52.0,NF
17.5,55.0,TF
-3.5,43.0,TF
28.0,38.5,NF
19.0,58.0,NF
43.0,43.0,TF
25.0,44.5,SS
1.0,38.5,TF
22.0,49.0,TF
16.0,46.0,TF
-0.5,50.5,NF
41.5,40.0,TF
7.0,40.0,TF
20.5,50.5,TF
-9.5,37.0,TF
10.0,52.0,NF
7.0,56.5,TF
-8.0,38.5,NF
14.5,52.0,TF
26.5,46.0,NF
26.5,38.5,NF
-8.0,37.0,TF
22.0,37.0,NF
5.5,43.0,NF
10.0,37.0,TF
-11.0,43.0,TF
14.5,35.5,NF
10.0,41.5,TF
25.0,38.5,NF
23.5,35.5,NF
17.5,56.5,TF
35.5,38.5,NF
31.0,41.5,TF
29.5,35.5,NF
23.5,50.5,NF
2.5,41.5,SS
38.5,40.0,TF
10.0,40.0,SS
-2.0,55.0,TF
5.5,58.0,TF
-0.5,49.0,TF
17.5,58.0,SS
28.0,43.0,TF
8.5,58.0,TF
17.5,41.5,TF
11.5,52.0,TF
19.0,41.5,TF
-0.5,41.5,SS
16.0,47.5,NF
-2.0,35.5,NF
11.5,47.5,TF
22.0,50.5,NF
41.5,37.0,TF
7.0,47.5,NF
-5.0,56.5,NF
4.0,35.5,SS
16.0,35.5,TF
10.0,53.5,TF
5.5,44.5,NF
43.0,44.5,TF
20.5,56.5,TF
-5.0,43.0,TF
2.5,44.5,SS
