LON,LAT,REGIME
10,40,SS
10.2,40,TF
10.4,40,TF
10.6,40,TF
10.8,40,TF
11,40,TF
11.2,40,TF
11.4,40,TF
11.6,40,TF
11.8,40,TF
12,40,TF
12.2,40,TF
12.4,40,TF
12.6,40,TF
12.8,40,TF
13,40,TF
13.2,40,TF
13.4,40,TF
13.6,40,TF
13.8,40,TF
14,40,TF
14.2,40,TF
14.4,40,TF
14.6,40,TF
14.8,40,TF
15,40,TF
15.2,40,TF
15.4,40,NF
15.6,40,NF
15.8,40,NF
16,40,NF
10,40.2,TF
10.2,40.2,TF
10.4,40.2,TF
10.6,40.2,TF
10.8,40.2,TF
11,40.2,TF
11.2,40.2,TF
11.4,40.2,TF
11.6,40.2,TF
11.8,40.2,TF
12,40.2,TF
12.2,40.2,TF
12.4,40.2,TF
12.6,40.2,TF
12.8,40.2,TF
13,40.2,TF
13.2,40.2,TF
13.4,40.2,TF
13.6,40.2,TF
13.8,40.2,TF
14,40.2,TF
14.2,40.2,TF
14.4,40.2,TF
14.6,40.2,TF
14.8,40.2,TF
15,40.2,TF
15.2,40.2,SS
15.4,40.2,SS
15.6,40.2,NF
15.8,40.2,NF
16,40.2,NF
10,40.4,TF
10.2,40.4,TF
10.4,40.4,TF
10.6,40.4,TF
10.8,40.4,TF
11,40.4,TF
11.2,40.4,TF
11.4,40.4,TF
11.6,40.4,TF
11.8,40.4,TF
12,40.4,TF
12.2,40.4,TF
12.4,40.4,TF
12.6,40.4,TF
12.8,40.4,TF
13,40.4,TF
13.2,40.4,TF
13.4,40.4,TF
13.6,40.4,TF
13.8,40.4,TF
14,40.4,NF
14.2,40.4,TF
14.4,40.4,TF
14.6,40.4,NF
14.8,40.4,TF
15,40.4,NF
15.2,40.4,NF
15.4,40.4,NF
15.6,40.4,NF
15.8,40.4,NF
16,40.4,NF
10,40.6,TF
10.2,40.6,TF
10.4,40.6,TF
10.6,40.6,TF
10.8,40.6,TF
11,40.6,TF
11.2,40.6,TF
11.4,40.6,TF
11.6,40.6,TF
11.8,40.6,TF
12,40.6,TF
12.2,40.6,TF
12.4,40.6,TF
12.6,40.6,SS
12.8,40.6,TF
13,40.6,TF
13.2,40.6,TF
13.4,40.6,TF
13.6,40.6,NF
13.8,40.6,TF
14,40.6,NF
14.2,40.6,NF
14.4,40.6,TF
