LON,LAT,REGIME
17.5,54.5,NF
32.5,36.5,NF
14.5,51.5,SS
-5.5,50.5,TF
-6.5,45.5,TF
24.5,46.5,TF
-0.5,40.5,NF
19.5,47.5,TF
12.5,50.5,TF
39.5,43.5,TF
44.5,43.5,TF
14.5,36.5,TF
31.5,46.5,NF
42.5,44.5,TF
22.5,55.5,TF
5.5,41.5,TF
-7.5,53.5,NF
14.5,44.5,TF
42.5,40.5,NF
-2.5,35.5,NF
21.5,51.5,SS
1.5,57.5,TF
0.5,48.5,NF
-7.5,55.5,TF
-5.5,46.5,TF
-5.5,49.5,TF
5.5,44.5,NF
12.5,49.5,TF
10.5,51.5,TF
42.5,36.5,SS
34.5,44.5,NF
25.5,36.5,NF
25.5,43.5,NF
16.5,44.5,TF
11.5,48.5,NF
-3.5,50.5,NF
-0.5,42.5,TF
11.5,50.5,NF
9.5,53.5,TF
15.5,35.5,TF
19.5,54.5,TF
-2.5,54.5,NF
15.5,36.5,TF
43.5,43.5,TF
2.5,50.5,TF
21.5,41.5,NF
13.5,56.5,SS
22.5,41.5,NF
7.5,36.5,TF
5.5,49.5,TF
-9.5,45.5,SS
41.5,42.5,TF
7.5,47.5,NF
20.5,37.5,TF
44.5,38.5,TF
-4.5,37.5,TF
11.5,40.5,TF
24.5,52.5,NF
1.5,38.5,NF
18.5,43.5,TF
-8.5,53.5,NF
29.5,39.5,NF
9.5,41.5,NF
31.5,35.5,NF
0.5,37.5,TF
-4.5,53.5,NF
18.5,38.5,SS
7.5,45.5,NF
16.5,35.5,TF
37.5,39.5,SS
30.5,46.5,NF
18.5,55.5,TF
0.5,53.5,NF
-2.5,42.5,NF
2.5,57.5,TF
-6.5,51.5,TF
24.5,45.5,NF
31.5,39.5,NF
-4.5,38.5,TF
34.5,36.5,NF
34.5,38.5,NF
7.5,40.5,SS
9.5,35.5,SS
11.5,49.5,TF
13.5,54.5,SS
-3.5,48.5,TF
41.5,35.5,SS
23.5,44.5,NF
37.5,36.5,NF
20.5,38.5,SS
18.5,51.5,NF
0.5,43.5,TF
23.5,45.5,TF
20.5,36.5,SS
-4.5,47.5,SS
35.5,36.5,SS
32.5,40.5,SS
26.5,46.5,NF
30.5,42.5,TF
27.5,48.5,NF
8.5,44.5,NF
-8.5,41.5,TF
-9.5,53.5,NF
40.5,43.5,TF
24.5,39.5,NF
22.5,43.5,TF
-4.5,52.5,NF
18.5,41.5,TF
3.5,45.5,NF
40.5,39.5,SS
20.5,50.5,TF
40.5,41.5,NF
13.5,46.5,TF
21.5,38.5,NF
10.5,45.5,TF
4.5,54.5,SS
-0.5,44.5,TF
39.5,35.5,NF
8.5,51.5,NF
22.5,47.5,NF
-8.5,38.5,NF
15.5,56.5,TF
-7.5,52.5,TF
24.5,49.5,SS
-1.5,44.5,TF
-5.5,40.5,TF
-2.5,38.5,TF
27.5,40.5,TF
-9.5,52.5,TF
8.5,48.5,TF
10.5,48.5,TF
28.5,42.5,NF
15.5,45.5,TF
-0.5,57.5,TF
7.5,42.5,TF
7.5,51.5,TF
24.5,48.5,TF
11.5,41.5,TF
15.5,57.5,NF
44.5,40.5,TF
-4.5,43.5,NF
-6.5,44.5,SS
25.5,46.5,TF
-10.5,42.5,SS
42.5,43.5,TF
31.5,36.5,NF
28.5,36.5,NF
-8.5,52.5,TF
1.5,36.5,TF
22.5,40.5,NF
7.5,35.5,TF
3.5,48.5,TF
12.5,46.5,TF
4.5,50.5,NF
-8.5,43.5,NF
18.5,53.5,NF
4.5,49.5,NF
25.5,49.5,TF
17.5,38.5,TF
19.5,45.5,NF
-1.5,37.5,TF
8.5,52.5,TF
7.5,46.5,NF
-5.5,35.5,TF
-10.5,43.5,TF
19.5,57.5,TF
20.5,43.5,NF
9.5,50.5,TF
24.5,44.5,TF
39.5,38.5,SS
37.5,43.5,TF
39.5,40.5,SS
-0.5,56.5,TF
41.5,36.5,SS
18.5,35.5,TF
38.5,43.5,TF
19.5,46.5,TF
18.5,40.5,TF
-4.5,54.5,SS
-1.5,38.5,SS
22.5,52.5,SS
20.5,44.5,SS
16.5,39.5,NF
21.5,45.5,TF
24.5,38.5,NF
-4.5,36.5,TF
-6.5,49.5,TF
14.5,45.5,TF
5.5,47.5,TF
-5.5,45.5,TF
12.5,58.5,SS
16.5,36.5,TF
44.5,42.5,TF
33.5,40.5,NF
42.5,41.5,TF
-1.5,51.5,TF
21.5,54.5,TF
0.5,57.5,TF
2.5,42.5,NF
8.5,38.5,TF
42.5,55.5,TF
15.5,58.5,NF
33.5,39.5,NF
-7.5,43.5,TF
19.5,44.5,TF
15.5,52.5,NF
16.5,50.5,NF
18.5,36.5,TF
15.5,40.5,NF
11.5,56.5,TF
19.5,43.5,TF
28.5,39.5,NF
0.5,38.5,SS
-4.5,50.5,TF
-7.5,51.5,TF
0.5,45.5,TF
5.5,57.5,TF
1.5,42.5,NF
9.5,52.5,NF
39.5,44.5,TF
6.5,55.5,TF
43.5,35.5,SS
23.5,43.5,TF
3.5,55.5,TF
1.5,47.5,SS
-9.5,51.5,TF
-0.5,43.5,NF
36.5,38.5,NF
13.5,57.5,SS
0.5,47.5,TF
42.5,37.5,TF
8.5,49.5,TF
14.5,50.5,NF
13.5,52.5,SS
9.5,49.5,NF
5.5,51.5,TF
-3.5,49.5,TF
28.5,35.5,NF
-3.5,55.5,NF
1.5,39.5,SS
30.5,40.5,SS
3.5,42.5,TF
-0.5,48.5,NF
25.5,45.5,NF
26.5,47.5,NF
-10.5,41.5,NF
44.5,35.5,NF
9.5,56.5,TF
4.5,38.5,TF
4.5,39.5,TF
15.5,47.5,NF
17.5,58.5,NF
19.5,48.5,NF
14.5,42.5,TF
0.5,39.5,TF
11.5,47.5,TF
10.5,55.5,NF
43.5,42.5,TF
7.5,48.5,TF
28.5,40.5,SS
26.5,41.5,NF
3.5,49.5,TF
26.5,42.5,TF
20.5,42.5,NF
9.5,38.5,TF
15.5,53.5,NF
36.5,37.5,NF
24.5,47.5,NF
21.5,47.5,TF
2.5,49.5,NF
2.5,40.5,TF
-9.5,37.5,TF
40.5,35.5,NF
24.5,41.5,NF
15.5,38.5,NF
7.5,56.5,TF
-8.5,54.5,TF
4.5,47.5,NF
11.5,39.5,TF
12.5,38.5,TF
6.5,50.5,NF
-1.5,36.5,NF
-3.5,46.5,TF
29.5,38.5,NF
9.5,40.5,NF
5.5,45.5,TF
16.5,40.5,NF
15.5,41.5,TF
7.5,37.5,SS
17.5,46.5,TF
-10.5,40.5,TF
26.5,39.5,NF
-7.5,36.5,TF
