LON,LAT,REGIME
15.5,41.5,TF
10.0,44.0,NF
13.5,41.5,TF
10.5,44.0,TF
14.5,42.0,TF
15.0,45.0,TF
10.5,43.0,TF
12.5,45.0,TF
10.0,43.5,TF
11.0,41.5,TF
13.0,42.0,NF
16.0,43.0,TF
14.5,41.5,TF
15.0,43.0,TF
14.5,44.5,TF
14.0,40.5,TF
12.5,42.0,TF
15.0,42.5,NF
13.0,41.0,NF
13.5,45.0,TF
13.5,42.0,NF
15.5,42.0,TF
15.5,44.5,NF
15.5,41.0,NF
11.5,41.0,TF
11.5,44.0,NF
11.5,45.0,TF
10.5,40.0,TF
10.0,42.0,TF
16.0,43.5,TF
14.0,43.5,TF
16.0,44.0,TF
14.5,43.0,TF
14.5,42.5,TF
12.0,44.5,TF
16.0,45.0,TF
13.5,40.5,TF
13.0,42.5,NF
11.0,44.0,NF
10.5,40.5,TF
10.5,43.5,TF
15.5,43.5,TF
