LON,LAT,REGIME
10,40,SS
10.5,40,TF
11,40,TF
11.5,40,TF
12,40,TF
12.5,40,TF
13,40,TF
13.5,40,TF
14,40,TF
14.5,40,TF
15,40,TF
15.5,40,NF
16,40,NF
10,40.5,TF
10.5,40.5,TF
11,40.5,TF
11.5,40.5,TF
12,40.5,TF
12.5,40.5,TF
13,40.5,TF
13.5,40.5,TF
14,40.5,TF
14.5,40.5,TF
15,40.5,NF
15.5,40.5,NF
16,40.5,NF
10,41,TF
10.5,41,TF
11,41,TF
11.5,41,TF
12,41,TF
12.5,41,SS
13,41,NF
13.5,41,TF
14,41,NF
14.5,41,TF
15,41,NF
15.5,41,NF
16,41,NF
10,41.5,TF
10.5,41.5,TF
11,41.5,TF
11.5,41.5,TF
12,41.5,SS
12.5,41.5,TF
13,41.5,TF
13.5,41.5,TF
14,41.5,NF
14.5,41.5,TF
15,41.5,TF
15.5,41.5,TF
16,41.5,TF
10,42,TF
10.5,42,TF
11,42,TF
11.5,42,TF
12,42,TF
12.5,42,TF
13,42,NF
13.5,42,NF
14,42,NF
14.5,42,TF
15,42,NF
15.5,42,TF
16,42,TF
10,42.5,TF
10.5,42.5,TF
11,42.5,TF
11.5,42.5,TF
12,42.5,NF
12.5,42.5,NF
13,42.5,NF
13.5,42.5,NF
14,42.5,TF
14.5,42.5,TF
15,42.5,NF
15.5,42.5,TF
16,42.5,TF
10,43,TF
10.5,43,TF
11,43,TF
11.5,43,NF
12,43,NF
12.5,43,NF
13,43,NF
13.5,43,NF
14,43,TF
14.5,43,TF
15,43,TF
15.5,43,TF
16,43,TF
10,43.5,TF
10.5,43.5,TF
11,43.5,NF
11.5,43.5,NF
12,43.5,NF
12.5,43.5,NF
13,43.5,TF
13.5,43.5,TF
14,43.5,TF
14.5,43.5,TF
15,43.5,TF
15.5,43.5,TF
16,43.5,TF
10,44,NF
10.5,44,TF
11,44,NF
11.5,44,NF
12,44,NF
12.5,44,TF
13,44,TF
13.5,44,TF
14,44,SS
14.5,44,TF
15,44,TF
15.5,44,TF
16,44,TF
10,44.5,NF
10.5,44.5,NF
11,44.5,TF
11.5,44.5,NF
12,44.5,TF
12.5,44.5,TF
13,44.5,SS
13.5,44.5,TF
14,44.5,TF
14.5,44.5,TF
15,44.5,TF
15.5,44.5,NF
16,44.5,NF
10,45,TF
10.5,45,TF
11,45,TF
11.5,45,TF
12,45,TF
12.5,45,TF
13,45,NF
13.5,45,TF
14,45,TF
14.5,45,TF
15,45,TF
15.5,45,NF
16,45,TF
