LON,LAT,REGIME
11.0,40.2,TF
13.6,42.8,NF
11.0,41.6,TF
14.8,41.8,NF
14.2,43.8,TF
15.0,43.6,TF
10.4,43.8,NF
12.8,41.6,TF
13.6,41.8,NF
12.2,42.6,NF
15.2,40.8,NF
15.6,44.2,NF
11.0,44.6,NF
14.6,43.4,TF
14.6,43.0,TF
14.6,40.8,NF
14.4,40.8,TF
15.0,45.0,TF
10.8,44.8,NF
13.2,43.8,TF
11.4,42.2,NF
15.8,42.8,TF
13.0,42.0,NF
10.0,41.2,NF
16.0,40.6,NF
11.4,44.4,NF
13.8,40.8,TF
12.0,45.0,TF
12.2,41.2,TF
10.0,41.8,TF
12.8,41.8,TF
15.6,42.4,TF
15.8,40.6,NF
15.6,41.0,NF
13.2,41.2,TF
10.8,42.8,TF
15.8,41.4,TF
12.4,42.6,NF
10.8,44.6,TF
11.0,40.8,TF
16.0,42.4,TF
13.6,44.0,TF
11.6,44.0,NF
14.0,44.6,TF
10.4,41.4,TF
14.4,44.6,TF
14.6,45.0,TF
15.0,44.6,TF
14.8,44.8,TF
10.4,44.0,TF
12.8,42.4,NF
11.2,45.0,TF
12.6,43.2,NF
13.8,41.6,NF
13.2,44.2,TF
11.4,42.8,TF
10.0,43.2,NF
13.8,40.6,TF
13.0,41.4,TF
14.4,44.4,TF
13.6,43.8,TF
10.2,42.4,TF
13.2,41.4,TF
10.0,44.2,NF
11.4,42.0,TF
11.4,42.6,TF
12.0,44.6,TF
13.4,42.2,TF
12.0,41.6,TF
11.4,44.0,NF
12.4,44.0,TF
10.6,41.8,TF
10.8,42.4,SS
12.4,42.4,TF
11.4,41.4,TF
14.2,44.8,TF
12.8,45.0,TF
11.4,43.0,NF
11.2,42.2,TF
11.8,43.2,TF
13.8,44.0,TF
13.8,45.0,NF
10.4,44.8,TF
13.0,44.6,TF
16.0,43.8,TF
11.8,44.4,TF
15.0,44.0,TF
10.4,44.4,NF
15.8,43.4,TF
13.8,43.6,SS
14.6,40.4,NF
15.0,41.4,NF
10.8,41.0,TF
15.6,43.2,TF
10.8,40.2,TF
12.6,43.4,NF
13.0,41.0,NF
10.6,44.2,NF
12.2,44.4,TF
10.6,44.4,NF
12.8,44.8,NF
10.4,40.6,TF
11.0,43.6,NF
14.6,41.4,TF
13.2,43.6,NF
15.2,42.8,TF
15.2,43.4,TF
15.6,44.4,NF
14.0,41.2,TF
14.0,42.4,NF
15.0,42.4,NF
14.0,44.8,TF
10.0,41.4,NF
10.8,40.0,TF
14.4,44.0,TF
11.8,44.6,TF
14.6,43.8,TF
13.8,43.4,TF
11.0,40.6,TF
13.0,43.6,NF
10.6,42.6,NF
11.2,43.2,SS
13.2,40.2,TF
10.2,40.2,TF
12.8,41.2,NF
12.0,40.8,TF
15.4,40.0,NF
16.0,44.4,NF
12.6,41.4,TF
14.8,43.0,TF
11.2,42.4,TF
11.8,41.8,NF
13.0,42.6,NF
14.6,44.2,TF
13.8,42.4,TF
10.6,43.8,NF
10.4,43.2,TF
12.8,40.8,TF
10.0,40.4,TF
11.2,43.0,NF
15.4,44.0,TF
10.8,40.8,TF
11.8,45.0,NF
14.8,43.2,TF
10.4,40.4,TF
12.8,40.0,TF
10.2,41.0,TF
11.8,40.2,TF
15.4,43.0,TF
11.4,42.4,TF
10.2,41.2,TF
16.0,41.2,NF
14.2,40.2,TF
15.4,42.0,TF
13.2,41.8,NF
13.8,44.4,TF
10.6,41.6,TF
15.4,42.8,TF
14.2,42.8,TF
15.6,45.0,NF
14.2,41.6,NF
13.0,41.2,NF
11.2,41.0,TF
15.6,43.4,TF
15.8,42.4,TF
14.0,44.4,SS
12.2,43.0,NF
12.4,40.6,TF
11.4,43.6,NF
13.4,42.4,NF
10.2,40.0,TF
11.8,44.8,TF
10.6,43.6,TF
13.6,40.4,TF
13.8,41.2,TF
10.6,40.2,TF
12.4,43.2,NF
14.8,42.6,NF
14.0,42.8,TF
15.0,42.2,NF
15.8,40.4,NF
15.8,42.0,TF
11.2,43.6,TF
10.8,42.2,TF
14.8,41.4,NF
12.6,40.0,TF
11.0,42.0,TF
12.2,43.8,NF
13.0,42.4,NF
15.0,41.6,TF
12.2,41.0,TF
14.8,45.0,TF
15.2,44.0,SS
13.8,43.0,NF
12.6,45.0,TF
11.6,43.2,TF
15.2,41.4,TF
11.6,43.6,SS
10.8,43.6,NF
10.8,44.4,NF
10.6,41.2,TF
13.4,44.4,TF
12.0,43.0,NF
16.0,44.2,SS
12.8,43.2,NF
15.4,40.2,SS
11.8,43.0,NF
10.4,43.6,TF
10.6,44.8,TF
10.8,41.6,TF
14.2,40.0,TF
10.6,42.0,TF
15.0,42.8,TF
11.0,41.0,TF
15.6,41.6,TF
11.0,41.2,TF
12.6,42.4,NF
12.0,42.6,NF
15.2,43.0,TF
10.4,42.2,TF
15.0,44.8,TF
15.8,41.8,TF
12.0,44.2,NF
11.2,40.8,TF
12.4,44.2,TF
11.2,40.6,TF
10.0,42.4,TF
15.0,40.4,NF
14.8,42.8,TF
14.0,42.0,NF
15.6,41.2,TF
10.2,43.0,TF
15.6,40.6,NF
15.0,43.8,TF
14.0,40.0,TF
13.6,44.4,TF
11.8,40.4,TF
12.6,40.6,SS
14.4,41.6,NF
10.2,42.8,TF
11.8,40.6,TF
