ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR
wsm02413,13.42,43.72,POINT (13.42 43.72),EU,SS,542.0,A,84.99999,107.85521,22.855217
wsm02482,12.57,43.27,POINT (12.57 43.27),EU,NF,477.0,B,117.0,129.09822,12.098221
wsm102226,12.99,43.61,POINT (12.99 43.61),EU,SS,521.0,C,169.0,162.50789,6.492111
wsm103605,14.74,44.91,POINT (14.74 44.91),EU,SS,684.0,C,179.0,171.40622,7.5937805
wsm108318,11.29,44.01,POINT (11.29 44.01),EU,NF,549.0,C,120.0,128.08965,8.089645
wsm108320,11.36,44.01,POINT (11.36 44.01),EU,NF,549.0,C,154.0,141.62163,12.378372
wsm108321,11.22,44.06,POINT (11.22 44.06),EU,NF,555.0,C,129.0,127.49919,1.5008087
wsm108552,15.85,42.07,POINT (15.85 42.07),EU,TS,368.0,C,124.0,129.14236,5.1423645
wsm112192,10.3,44.51,POINT (10.3 44.51),EU,TF,609.0,C,20.0,13.394664,6.605336
wsm112201,10.23,44.5,POINT (10.23 44.5),EU,TF,609.0,C,24.999998,12.8663845,12.133614
wsm113370,13.35,42.36,POINT (13.35 42.36),EU,NF,397.0,C,151.0,142.57147,8.428528
wsm113458,12.01,44.24,POINT (12.01 44.24),EU,TF,577.0,C,12.0,13.306438,1.3064384
wsm113459,13.37,42.33,POINT (13.37 42.33),EU,NF,394.0,C,173.0,153.9604,19.039597
wsm113466,13.35,42.29,POINT (13.35 42.29),EU,NF,389.0,C,134.0,138.14893,4.148926
wsm113469,13.34,42.37,POINT (13.34 42.37),EU,NF,397.0,C,147.0,141.80215,5.1978455
wsm113471,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,153.0,141.27344,11.7265625
wsm113472,13.37,42.35,POINT (13.37 42.35),EU,NF,396.0,C,139.0,141.57092,2.5709229
wsm113477,13.33,42.36,POINT (13.33 42.36),EU,NF,396.0,C,165.0,135.72691,29.273087
wsm113483,13.27,42.47,POINT (13.27 42.47),EU,NF,406.0,C,146.0,145.64488,0.3551178
wsm113492,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,143.0,141.06073,1.93927
wsm113502,13.39,42.31,POINT (13.39 42.31),EU,NS,393.0,C,133.0,138.89635,5.896347
wsm113506,13.38,42.38,POINT (13.38 42.38),EU,NF,400.0,C,120.0,127.720726,7.720726
wsm113525,13.36,42.51,POINT (13.36 42.51),EU,NF,412.0,C,140.0,141.32913,1.3291321
wsm113529,13.3,42.48,POINT (13.3 42.48),EU,NF,408.0,C,143.0,143.87866,0.8786621
wsm113531,13.44,42.34,POINT (13.44 42.34),EU,SS,397.0,C,108.0,120.119446,12.119446
wsm113535,13.42,42.45,POINT (13.42 42.45),EU,NS,408.0,C,159.0,133.58844,25.41156
wsm113540,13.19,42.37,POINT (13.19 42.37),EU,NF,393.0,C,134.0,135.22086,1.2208557
wsm113545,13.24,42.49,POINT (13.24 42.49),EU,NF,407.0,C,133.0,138.57175,5.571747
wsm113549,13.42,42.47,POINT (13.42 42.47),EU,NF,410.0,C,111.00001,132.61151,21.611504
wsm113586,13.21,42.52,POINT (13.21 42.52),EU,NF,409.0,C,138.0,138.49188,0.49188232
wsm113597,13.29,42.53,POINT (13.29 42.53),EU,NF,413.0,C,146.0,142.27966,3.720337
