ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR
wsm02413,13.42,43.72,POINT (13.42 43.72),EU,SS,542.0,A,84.99999,156.54037,71.54038
wsm02482,12.57,43.27,POINT (12.57 43.27),EU,NF,477.0,B,117.0,149.12708,32.127075
wsm102226,12.99,43.61,POINT (12.99 43.61),EU,SS,521.0,C,169.0,127.47165,41.52835
wsm103605,14.74,44.91,POINT (14.74 44.91),EU,SS,684.0,C,179.0,151.2645,27.735504
wsm108318,11.29,44.01,POINT (11.29 44.01),EU,NF,549.0,C,120.0,149.90692,29.906921
wsm108320,11.36,44.01,POINT (11.36 44.01),EU,NF,549.0,C,154.0,144.0073,9.992706
wsm108321,11.22,44.06,POINT (11.22 44.06),EU,NF,555.0,C,129.0,148.17029,19.170288
wsm108552,15.85,42.07,POINT (15.85 42.07),EU,TS,368.0,C,124.0,171.86241,47.86241
wsm112192,10.3,44.51,POINT (10.3 44.51),EU,TF,609.0,C,20.0,135.7569,64.2431
wsm112201,10.23,44.5,POINT (10.23 44.5),EU,TF,609.0,C,24.999998,137.32613,67.673874
wsm113370,13.35,42.36,POINT (13.35 42.36),EU,NF,397.0,C,151.0,140.70204,10.297958
wsm113458,12.01,44.24,POINT (12.01 44.24),EU,TF,577.0,C,12.0,144.72585,47.274155
wsm113459,13.37,42.33,POINT (13.37 42.33),EU,NF,394.0,C,173.0,137.84637,35.153625
wsm113466,13.35,42.29,POINT (13.35 42.29),EU,NF,389.0,C,134.0,148.61719,14.6171875
wsm113469,13.34,42.37,POINT (13.34 42.37),EU,NF,397.0,C,147.0,139.76364,7.2363586
wsm113471,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,153.0,142.43813,10.561874
wsm113472,13.37,42.35,POINT (13.37 42.35),EU,NF,396.0,C,139.0,144.30215,5.3021545
wsm113477,13.33,42.36,POINT (13.33 42.36),EU,NF,396.0,C,165.0,138.1266,26.873398
wsm113483,13.27,42.47,POINT (13.27 42.47),EU,NF,406.0,C,146.0,151.16837,5.1683655
wsm113492,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,143.0,145.94376,2.943756
wsm113502,13.39,42.31,POINT (13.39 42.31),EU,NS,393.0,C,133.0,147.69142,14.6914215
wsm113506,13.38,42.38,POINT (13.38 42.38),EU,NF,400.0,C,120.0,146.95966,26.959656
wsm113525,13.36,42.51,POINT (13.36 42.51),EU,NF,412.0,C,140.0,150.27182,10.27182
wsm113529,13.3,42.48,POINT (13.3 42.48),EU,NF,408.0,C,143.0,151.66664,8.666641
wsm113531,13.44,42.34,POINT (13.44 42.34),EU,SS,397.0,C,108.0,153.12009,45.120087
wsm113535,13.42,42.45,POINT (13.42 42.45),EU,NS,408.0,C,159.0,138.31905,20.680954
wsm113540,13.19,42.37,POINT (13.19 42.37),EU,NF,393.0,C,134.0,149.72888,15.728882
wsm113545,13.24,42.49,POINT (13.24 42.49),EU,NF,407.0,C,133.0,151.19609,18.19609
wsm113549,13.42,42.47,POINT (13.42 42.47),EU,NF,410.0,C,111.00001,148.3809,37.380898
wsm113586,13.21,42.52,POINT (13.21 42.52),EU,NF,409.0,C,138.0,149.63013,11.630127
wsm113597,13.29,42.53,POINT (13.29 42.53),EU,NF,413.0,C,146.0,150.92267,4.9226685
wsm113627,13.31,42.51,POINT (13.31 42.51),EU,NF,411.0,C,144.0,148.46375,4.463745
wsm113754,13.49,42.25,POINT (13.49 42.25),EU,NF,389.0,C,145.0,138.7933,6.2066956
wsm113759,13.48,42.23,POINT (13.48 42.23),EU,NF,386.0,C,153.0,140.57167,12.428329
wsm114500,13.36,42.45,POINT (13.36 42.45),EU,NF,406.0,C,134.0,146.9414,12.941406
wsm114745,13.38,42.34,POINT (13.38 42.34),EU,NF,395.0,C,151.0,141.4442,9.555801
wsm115656,13.41,43.47,POINT (13.41 43.47),EU,SS,515.0,C,154.0,150.36436,3.6356354
wsm117151,13.38,43.11,POINT (13.38 43.11),EU,NS,476.0,C,97.0,154.85585,57.85585
wsm118506,12.44,43.56,POINT (12.44 43.56),EU,NF,507.0,C,113.0,152.84055,39.840546
wsm120224,12.61,42.81,POINT (12.61 42.81),EU,NF,428.0,C,176.0,134.61766,41.38234
wsm120299,12.11,44.36,POINT (12.11 44.36),EU,TF,591.0,C,86.0,160.68362,74.683624
wsm120877,12.37,44.14,POINT (12.37 44.14),EU,SS,570.0,C,148.0,147.27791,0.7220917
wsm128220,12.03,43.86,POINT (12.03 43.86),EU,NF,535.0,C,115.0,149.71466,34.71466
wsm129876,11.86,43.92,POINT (11.86 43.92),EU,NF,541.0,C,123.0,143.27377,20.273773
wsm129877,11.85,43.92,POINT (11.85 43.92),EU,NF,540.0,C,119.0,145.92593,26.925934
wsm129896,11.86,43.93,POINT (11.86 43.93),EU,NF,542.0,C,122.0,142.80255,20.802551
wsm134393,10.36,44.82,POINT (10.36 44.82),EU,NF,643.0,C,93.00001,156.02994,63.02993
wsm135516,13.2,42.81,POINT (13.2 42.81),EU,NF,440.0,C,124.0,169.13141,45.13141
wsm136940,11.26,44.9,POINT (11.26 44.9),EU,TF,648.0,C,10.999999,161.70442,29.295578
wsm136948,11.44,44.89,POINT (11.44 44.89),EU,TF,647.0,C,19.0,158.75626,40.243744
wsm136951,11.32,44.95,POINT (11.32 44.95),EU,TF,654.0,C,35.0,157.0594,57.940598
wsm136970,11.49,44.81,POINT (11.49 44.81),EU,TF,638.0,C,27.0,155.91936,51.080643
wsm137168,11.15,44.92,POINT (11.15 44.92),EU,TF,650.0,C,13.999999,165.06049,28.939514
wsm137172,11.02,44.9,POINT (11.02 44.9),EU,TF,649.0,C,17.0,159.92926,37.07074
wsm137173,10.95,44.84,POINT (10.95 44.84),EU,TF,642.0,C,16.0,152.03809,43.961914
wsm137318,12.23,44.41,POINT (12.23 44.41),EU,TF,598.0,C,161.0,146.30676,14.693237
wsm141788,10.49,44.17,POINT (10.49 44.17),EU,SS,570.0,C,110.0,160.09048,50.090485
wsm143580,12.3,43.45,POINT (12.3 43.45),EU,NF,493.0,C,118.0,152.19974,34.199738
wsm144225,13.86,43.53,POINT (13.86 43.53),EU,TF,533.0,C,50.999996,162.45215,68.54785
wsm144249,11.05,44.28,POINT (11.05 44.28),EU,TF,580.0,C,165.0,138.34494,26.65506
wsm144308,10.71,44.42,POINT (10.71 44.42),EU,TF,596.0,C,18.0,131.8645,66.1355
