ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR,SOURCE_FILE
grid_000000,10.2,40.4,POINT (10.2 40.4),EU,TF,165.13027896952164,C,0.0,104.1957,75.8043,0.45759952,iS-GNN_grid_0p6Hr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000010,10.2,40.6,POINT (10.2 40.6),EU,TF,186.24481473161197,C,0.0,103.64018,76.35982,0.5254143,iS-GNN_grid_0p6Br_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000010,10.2,40.8,POINT (10.2 40.8),EU,TF,207.58854582778508,C,0.0,107.61194,72.38806,0.5311686,iS-GNN_grid_0p6Er_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000010,10.2,41.0,POINT (10.2 41),EU,TF,229.0976478540448,C,0.0,107.89918,72.10082,0.50390464,iS-GNN_grid_0p6Hr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000020,10.2,41.2,POINT (10.2 41.2),EU,TF,250.72977090584516,C,0.0,107.378174,72.621826,0.5206357,iS-GNN_grid_0p6Br_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000020,10.2,41.4,POINT (10.2 41.4),EU,TF,272.4558039591409,C,0.0,108.03401,71.96599,0.43753237,iS-GNN_grid_0p6Er_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000020,10.2,41.6,POINT (10.2 41.6),EU,TF,293.9127251656252,C,0.0,104.248924,75.751076,0.46845543,iS-GNN_grid_0p6Hr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000030,10.2,41.8,POINT (10.2 41.8),EU,TF,315.1628905196096,C,0.0,108.54443,71.45557,0.36056456,iS-GNN_grid_0p6Br_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000030,10.2,42.0,POINT (10.2 42),EU,TF,336.4113053796114,C,0.0,123.264786,56.735214,0.19435796,iS-GNN_grid_0p6Er_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000040,10.2,42.6,POINT (10.2 42.6),EU,TF,400.14596036708303,C,0.0,140.79698,39.20302,0.22627804,iS-GNN_grid_0p6Er_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000040,10.2,42.8,POINT (10.2 42.8),EU,TF,421.67112455138727,C,0.0,139.02124,40.97876,0.32951686,iS-GNN_grid_0p6Hr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000050,10.2,43.0,POINT (10.2 43),EU,TF,443.5108942176892,C,0.0,136.53084,43.469162,0.42475092,iS-GNN_grid_0p6Br_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000050,10.2,43.2,POINT (10.2 43.2),EU,NF,465.3872000029135,C,0.0,136.11415,43.88585,0.47068936,iS-GNN_grid_0p6Er_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000050,10.2,43.4,POINT (10.2 43.4),EU,TF,487.2952282375207,C,0.0,136.83441,43.16559,0.51830286,iS-GNN_grid_0p6Hr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000060,10.2,43.6,POINT (10.2 43.6),EU,TF,509.2309870863261,C,0.0,118.84806,61.15194,0.56293154,iS-GNN_grid_0p6Br_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000060,10.2,43.8,POINT (10.2 43.8),EU,TF,531.1911393299275,C,0.0,107.95464,72.04536,0.6647618,iS-GNN_grid_0p6Er_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000060,10.2,44.0,POINT (10.2 44),EU,NF,553.1728741570148,C,0.0,106.54032,73.45968,0.7623964,iS-GNN_grid_0p6Hr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000070,10.2,44.2,POINT (10.2 44.2),EU,NF,575.1738078018959,C,0.0,109.96029,70.03971,0.77323925,iS-GNN_grid_0p6Br_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000070,10.2,44.4,POINT (10.2 44.4),EU,NF,597.191905765332,C,0.0,112.91342,67.08658,0.72198075,iS-GNN_grid_0p6Er_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000070,10.2,44.6,POINT (10.2 44.6),EU,TF,619.22542136403,C,0.0,179.12955,0.8704529,0.66773695,iS-GNN_grid_0p6Hr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000080,10.2,44.8,POINT (10.2 44.8),EU,TF,633.8845812308163,C,0.0,6.810248,6.810248,0.7263009,iS-GNN_grid_0p6Br_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000080,10.2,45.0,POINT (10.2 45),EU,TF,611.658616593162,C,0.0,0.23531912,0.23531912,0.6665895,iS-GNN_grid_0p6Er_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000000,10.4,40.2,POINT (10.4 40.2),EU,TF,138.8499596884697,C,0.0,109.9709,70.0291,0.29844594,iS-GNN_grid_0p6Fr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000000,10.4,40.4,POINT (10.4 40.4),EU,TF,160.36310719421397,C,0.0,104.0408,75.9592,0.46523112,iS-GNN_grid_0p6Ir_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000010,10.4,40.6,POINT (10.4 40.6),EU,TF,182.04395702206529,C,0.0,103.48204,76.51796,0.5350818,iS-GNN_grid_0p6Cr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000010,10.4,40.8,POINT (10.4 40.8),EU,TF,203.52151582191328,C,0.0,106.71272,73.28728,0.5007793,iS-GNN_grid_0p6Fr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000010,10.4,41.0,POINT (10.4 41),EU,TF,224.7786356282144,C,0.0,106.61588,73.38412,0.478669,iS-GNN_grid_0p6Ir_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000020,10.4,41.2,POINT (10.4 41.2),EU,TF,246.03404083301965,C,0.0,106.67336,73.32664,0.50889766,iS-GNN_grid_0p6Cr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000020,10.4,41.4,POINT (10.4 41.4),EU,TF,267.28772291018765,C,0.0,107.884674,72.115326,0.42001516,iS-GNN_grid_0p6Fr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000020,10.4,41.6,POINT (10.4 41.6),EU,TF,288.53967330668,C,0.0,102.569885,77.430115,0.44607016,iS-GNN_grid_0p6Ir_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000030,10.4,41.8,POINT (10.4 41.8),EU,TF,309.789883442394,C,0.0,109.01344,70.98656,0.3060377,iS-GNN_grid_0p6Cr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000030,10.4,42.0,POINT (10.4 42),EU,TF,331.2952831737404,C,0.0,123.61449,56.385513,0.16650988,iS-GNN_grid_0p6Fr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000040,10.4,42.4,POINT (10.4 42.4),EU,TF,375.0303202831319,C,0.0,140.2408,39.7592,0.1449841,iS-GNN_grid_0p6Cr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000040,10.4,42.6,POINT (10.4 42.6),EU,TF,396.9568914759227,C,0.0,138.50046,41.499542,0.2809974,iS-GNN_grid_0p6Fr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000040,10.4,42.8,POINT (10.4 42.8),EU,TF,418.9147581437094,B,0.0,136.24628,43.753723,0.3180444,iS-GNN_grid_0p6Ir_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000050,10.4,43.0,POINT (10.4 43),EU,SS,440.89936267831627,C,0.0,135.83722,44.16278,0.4835031,iS-GNN_grid_0p6Cr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000050,10.4,43.2,POINT (10.4 43.2),EU,TF,462.9070081351119,C,0.0,133.91858,46.08142,0.57111466,iS-GNN_grid_0p6Fr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000050,10.4,43.4,POINT (10.4 43.4),EU,TF,484.9346650629107,C,0.0,135.98366,44.016342,0.6302341,iS-GNN_grid_0p6Ir_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000060,10.4,43.6,POINT (10.4 43.6),EU,TF,506.9798279247411,C,0.0,135.01706,44.98294,0.6126305,iS-GNN_grid_0p6Cr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000060,10.4,43.8,POINT (10.4 43.8),EU,NF,529.0404069196001,C,0.0,111.374504,68.625496,0.7265058,iS-GNN_grid_0p6Fr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000060,10.4,44.0,POINT (10.4 44),EU,TF,551.1146454575007,C,0.0,104.86994,75.13006,0.7633605,iS-GNN_grid_0p6Ir_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000070,10.4,44.2,POINT (10.4 44.2),EU,NF,573.201056481863,C,0.0,110.380356,69.619644,0.8015597,iS-GNN_grid_0p6Cr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000070,10.4,44.4,POINT (10.4 44.4),EU,NF,595.2983728156148,C,0.0,105.99649,74.00351,0.65795106,iS-GNN_grid_0p6Fr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000070,10.4,44.6,POINT (10.4 44.6),EU,NF,617.4055080647469,C,0.0,170.32631,9.673691,0.6765116,iS-GNN_grid_0p6Ir_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000080,10.4,44.8,POINT (10.4 44.8),EU,TF,633.8851391446001,C,0.0,3.4144056,3.4144056,0.672171,iS-GNN_grid_0p6Cr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000080,10.4,45.0,POINT (10.4 45),EU,TF,611.6591745069479,C,0.0,175.3226,4.6773987,0.6512405,iS-GNN_grid_0p6Fr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000001,10.6,40.2,POINT (10.6 40.2),EU,TF,134.36672234466042,C,0.0,117.73653,62.263474,0.3115734,iS-GNN_grid_0p6Dr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000001,10.6,40.4,POINT (10.6 40.4),EU,TF,155.62896851485314,C,0.0,107.93471,72.06529,0.3931182,iS-GNN_grid_0p6Gr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000012,10.6,40.6,POINT (10.6 40.6),EU,TF,176.88952702752243,C,0.0,107.83026,72.16974,0.45715198,iS-GNN_grid_0p6Ar_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000012,10.6,40.8,POINT (10.6 40.8),EU,TF,198.14838945050383,C,0.0,110.62543,69.37457,0.44916046,iS-GNN_grid_0p6Dr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000012,10.6,41.0,POINT (10.6 41),EU,TF,219.40554732522412,C,0.0,109.90454,70.09546,0.42688432,iS-GNN_grid_0p6Gr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000023,10.6,41.2,POINT (10.6 41.2),EU,TF,240.89230435180437,C,0.0,106.787025,73.212975,0.46187484,iS-GNN_grid_0p6Ar_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
