ID,LON,LAT,DEPTH,DIST,PLATE,QUALITY,REGIME_1,AZI,geometry
wsm69591,12.66,43.01,15.0,450.0,EU,C,NF,125.0,POINT (12.66 43.01)
wsm69596,12.76,42.93,10.0,443.0,EU,C,NF,127.0,POINT (12.76 42.93)
wsm69600,12.8,42.76,10.0,426.0,EU,C,NF,109.0,POINT (12.8 42.76)
wsm69605,12.97,42.91,10.0,445.0,EU,C,NF,131.0,POINT (12.97 42.91)
wsm69607,12.76,42.9,10.0,440.0,EU,C,NF,139.0,POINT (12.76 42.9)
wsm69630,12.55,42.9,15.0,437.0,EU,C,NF,133.0,POINT (12.55 42.9)
wsm69632,12.97,43.13,10.0,469.0,EU,C,NF,137.0,POINT (12.97 43.13)
wsm69633,12.9,43.02,10.0,456.0,EU,C,NF,131.0,POINT (12.9 43.02)
wsm69673,13.29,42.31,15.0,390.0,EU,C,NF,134.0,POINT (13.29 42.31)
wsm69674,12.81,42.88,10.0,439.0,EU,C,NF,134.0,POINT (12.81 42.88)
wsm69677,12.86,42.93,10.0,445.0,EU,C,NF,122.0,POINT (12.86 42.93)
wsm69678,12.72,42.84,10.0,433.0,EU,C,NF,131.0,POINT (12.72 42.84)
wsm69683,13.03,42.96,12.0,452.0,EU,C,NF,130.0,POINT (13.03 42.96)
wsm69688,12.83,42.94,10.0,446.0,EU,C,NF,129.0,POINT (12.83 42.94)
wsm69689,12.63,42.72,10.0,418.0,EU,C,NF,120.0,POINT (12.63 42.72)
wsm69690,12.89,42.98,10.0,451.0,EU,C,NF,116.0,POINT (12.89 42.98)
wsm69691,12.85,43.02,12.0,455.0,EU,C,SS,153.0,POINT (12.85 43.02)
wsm69692,12.73,43.02,10.0,453.0,EU,C,NF,154.0,POINT (12.73 43.02)
wsm69697,12.89,42.83,10.0,435.0,EU,C,NF,119.0,POINT (12.89 42.83)
wsm69705,12.82,42.94,10.0,445.0,EU,C,NF,137.0,POINT (12.82 42.94)
wsm69727,12.94,42.63,10.0,414.0,EU,C,NF,122.0,POINT (12.94 42.63)
wsm69817,12.95,42.83,12.0,436.0,EU,C,NF,134.0,POINT (12.95 42.83)
wsm69930,12.86,42.78,10.0,429.0,EU,C,NF,149.0,POINT (12.86 42.78)
wsm70061,10.52,44.19,19.2,572.0,EU,C,NF,126.0,POINT (10.52 44.19)
wsm70087,12.75,42.89,10.0,439.0,EU,C,NF,153.0,POINT (12.75 42.89)
wsm70253,12.8,42.97,10.0,448.0,EU,C,NF,135.0,POINT (12.8 42.97)
wsm70437,12.8,43.11,10.0,463.0,EU,C,NF,144.0,POINT (12.8 43.11)
wsm70499,12.77,42.86,15.0,436.0,EU,C,NF,143.0,POINT (12.77 42.86)
wsm70500,12.83,43.2,10.0,474.0,EU,C,NF,167.0,POINT (12.83 43.2)
wsm70510,12.78,43.2,10.0,473.0,EU,C,NF,145.0,POINT (12.78 43.2)
wsm70874,12.72,43.23,10.0,475.0,EU,C,NF,157.0,POINT (12.72 43.23)
wsm70971,12.89,42.99,10.0,452.0,EU,C,NF,120.0,POINT (12.89 42.99)
wsm71245,13.02,42.26,15.0,377.0,EU,C,NF,82.0,POINT (13.02 42.26)
wsm73079,10.96,44.28,10.0,580.0,EU,C,NF,95.0,POINT (10.96 44.28)
wsm73663,13.06,42.66,10.0,420.0,EU,C,NF,137.0,POINT (13.06 42.66)
wsm74725,12.97,41.91,10.0,339.0,EU,C,NS,161.0,POINT (12.97 41.91)
wsm74891,11.72,42.81,10.0,417.0,EU,C,NF,94.0,POINT (11.72 42.81)
wsm75015,11.97,44.08,24.0,559.0,EU,C,TF,30.0,POINT (11.97 44.08)
wsm75075,10.13,40.86,18.3,216.0,EU,C,TF,94.0,POINT (10.13 40.86)
wsm75129,12.25,44.2,22.3,575.0,EU,C,TF,40.0,POINT (12.25 44.2)
