AZI_PRED,LON,LAT
46,13.4,44.8
133,13.6,40.8
148,13.6,41
151,13.6,41.2
145,13.6,41.4
142,13.6,41.6
136,13.6,41.8
136,13.6,42
142,13.6,42.2
145,13.6,42.4
151,13.6,42.6
145,13.6,42.8
40,13.6,43
52,13.6,43.2
52,13.6,43.4
52,13.6,43.6
43,13.6,43.8
43,13.6,44
46,13.6,44.2
46,13.6,44.4
46,13.6,44.6
148,13.8,40.6
136,13.8,40.8
133,13.8,41
133,13.8,41.2
139,13.8,41.4
142,13.8,41.6
142,13.8,41.8
136,13.8,42
115,13.8,42.2
145,13.8,42.4
145,13.8,42.6
121,13.8,42.8
118,13.8,43
52,13.8,43.2
49,13.8,43.4
52,13.8,43.6
40,13.8,43.8
43,13.8,44
46,13.8,44.2
46,13.8,44.4
43,13.8,44.6
151,14,40.4
133,14,40.6
151,14,40.8
130,14,41
130,14,41.2
136,14,41.4
130,14,41.6
142,14,41.8
145,14,42
112,14,42.2
145,14,42.4
145,14,42.6
109,14,42.8
106,14,43
52,14,43.2
49,14,43.4
46,14,43.6
43,14,43.8
46,14,44
46,14,44.2
43,14,44.4
46,14,44.6
139,14.2,40.6
151,14.2,40.8
130,14.2,41
136,14.2,41.2
130,14.2,41.4
139,14.2,41.6
151,14.2,41.8
142,14.2,42
118,14.2,42.2
121,14.2,42.4
145,14.2,42.6
115,14.2,42.8
76,14.2,43
58,14.2,43.2
37,14.2,43.4
46,14.2,43.6
40,14.2,43.8
49,14.2,44
46,14.2,44.2
55,14.2,44.4
142,14.4,40.4
127,14.4,40.6
124,14.4,40.8
130,14.4,41
124,14.4,41.2
127,14.4,41.4
130,14.4,41.6
130,14.4,41.8
130,14.4,42
130,14.4,42.2
121,14.4,42.4
118,14.4,42.6
115,14.4,42.8
115,14.4,43
115,14.4,43.2
55,14.4,43.4
49,14.4,43.6
55,14.4,43.8
46,14.4,44
46,14.4,44.2
154,14.6,40.2
142,14.6,40.4
121,14.6,40.6
142,14.6,40.8
136,14.6,41
127,14.6,41.2
130,14.6,41.4
127,14.6,41.6
124,14.6,41.8
130,14.6,42
130,14.6,42.2
121,14.6,42.4
124,14.6,42.6
118,14.6,42.8
94,14.6,43
61,14.6,43.2
49,14.6,43.4
46,14.6,43.6
49,14.6,43.8
49,14.6,44
160,14.8,40
148,14.8,40.2
145,14.8,40.4
127,14.8,40.6
124,14.8,40.8
139,14.8,41
139,14.8,41.2
133,14.8,41.4
133,14.8,41.6
127,14.8,41.8
127,14.8,42
133,14.8,42.2
127,14.8,42.4
124,14.8,42.6
118,14.8,42.8
118,14.8,43
55,14.8,43.2
16,14.8,43.4
46,14.8,43.6
46,14.8,43.8
148,15,40
151,15,40.2
139,15,40.4
139,15,40.6
130,15,40.8
139,15,41
136,15,41.2
130,15,41.4
127,15,41.6
127,15,41.8
124,15,42
136,15,42.2
136,15,42.4
121,15,42.6
40,15,43
40,15,43.2
19,15,43.4
34,15,43.6
16,15,43.8
148,15.2,40
145,15.2,40.2
145,15.2,40.4
139,15.2,40.6
124,15.2,40.8
124,15.2,41
130,15.2,41.2
127,15.2,41.4
142,15.2,41.6
142,15.2,41.8
133,15.2,42
139,15.2,42.2
127,15.2,42.4
124,15.2,42.6
19,15.2,42.8
16,15.2,43
16,15.2,43.2
16,15.2,43.4
40,15.2,43.6
43,15.2,43.8
16,15.2,44
148,15.4,40
148,15.4,40.2
142,15.4,40.4
133,15.4,40.6
136,15.4,40.8
124,15.4,41
130,15.4,41.2
130,15.4,41.4
106,15.4,41.6
133,15.4,41.8
139,15.4,42
139,15.4,42.2
142,15.4,42.4
22,15.4,42.6
28,15.4,42.8
16,15.4,43
16,15.4,43.2
19,15.4,43.4
16,15.4,43.6
16,15.4,43.8
19,15.4,44
148,15.6,40
151,15.6,40.2
136,15.6,40.4
142,15.6,40.6
142,15.6,40.8
121,15.6,41
130,15.6,41.2
163,15.6,41.4
133,15.6,41.6
133,15.6,41.8
154,15.6,42
157,15.6,42.2
130,15.6,42.4
13,15.6,42.6
28,15.6,42.8
13,15.6,43
16,15.6,43.2
22,15.6,43.4
19,15.6,43.6
19,15.6,43.8
19,15.6,44
145,15.8,40
139,15.8,40.2
136,15.8,40.4
139,15.8,40.6
145,15.8,40.8
160,15.8,41
115,15.8,41.2
133,15.8,41.4
148,15.8,41.6
133,15.8,41.8
139,15.8,42
157,15.8,42.2
130,15.8,42.4
31,15.8,42.6
31,15.8,42.8
31,15.8,43
43,15.8,43.2
19,15.8,43.4
40,15.8,43.6
19,15.8,43.8
148,16,40
136,16,40.2
136,16,40.4
136,16,40.6
142,16,40.8
160,16,41
145,16,41.2
145,16,41.4
139,16,41.6
130,16,41.8
130,16,42
142,16,42.2
172,16,42.4
28,16,42.6
25,16,42.8
31,16,43
22,16,43.2
22,16,43.4
22,16,43.6
19,16,43.8
