AZI_PRED,LON,LAT,SET
140.54294,12.8,43.2,F
151.66545,13.4,43.2,F
38.210228,14,43.2,F
15.50775,14.6,43.2,F
18.479998,15.2,43.2,F
23.024813,15.8,43.2,F
111.374504,10.4,43.8,F
129.91467,11,43.8,F
130.85826,11.6,43.8,F
139.63899,12.2,43.8,F
122.86775,12.8,43.8,F
38.7296,13.4,43.8,F
30.343481,14,43.8,F
11.284975,14.6,43.8,F
17.975824,15.2,43.8,F
21.559797,15.8,43.8,F
105.99649,10.4,44.4,F
150.54741,11,44.4,F
1.7619927,11.6,44.4,F
21.484215,12.2,44.4,F
138.47964,12.8,44.4,F
40.835297,13.4,44.4,F
27.352135,14,44.4,F
5.629084,14.6,44.4,F
10.838803,15.2,44.4,F
19.676674,15.8,44.4,F
175.3226,10.4,45,F
4.8406715,11,45,F
10.6678505,11.6,45,F
4.494707,12.2,45,F
161.50766,12.8,45,F
4.05425,13.4,45,F
7.4714513,14,45,F
8.263688,14.6,45,F
10.5376,15.2,45,F
12.433287,15.8,45,F
105.046135,10,40.4,G
107.93471,10.6,40.4,G
92.063896,12.4,40.4,G
56.107338,13,40.4,G
0.79911876,14.2,40.4,G
130.01843,14.8,40.4,G
133.23114,15.4,40.4,G
140.00986,16,40.4,G
108.49767,10,41,G
109.90454,10.6,41,G
115.224304,11.2,41,G
158.58673,11.8,41,G
79.52097,12.4,41,G
135.42986,13,41,G
145.00563,13.6,41,G
144.0687,14.2,41,G
141.84503,14.8,41,G
131.87276,15.4,41,G
135.17667,16,41,G
104.81178,10,41.6,G
107.668465,10.6,41.6,G
150.57852,11.8,41.6,G
144.25488,12.4,41.6,G
150.5448,13,41.6,G
140.96048,13.6,41.6,G
132.31859,14.2,41.6,G
131.76123,14.8,41.6,G
136.4886,15.4,41.6,G
136.23265,16,41.6,G
133.85965,11.2,42.2,G
132.29123,11.8,42.2,G
126.803635,12.4,42.2,G
139.60767,13,42.2,G
139.96202,13.6,42.2,G
132.0711,14.2,42.2,G
128.14117,14.8,42.2,G
124.243835,15.4,42.2,G
0.14383143,16,42.2,G
142.14369,10,42.8,G
135.63014,10.6,42.8,G
130.46825,11.2,42.8,G
130.99536,11.8,42.8,G
129.63763,12.4,42.8,G
155.60281,13,42.8,G
147.61566,13.6,42.8,G
72.64781,14.2,42.8,G
18.20189,14.8,42.8,G
23.220316,15.4,42.8,G
26.380436,16,42.8,G
141.4348,10,43.4,G
134.3565,10.6,43.4,G
133.32124,11.2,43.4,G
135.97273,11.8,43.4,G
138.36566,12.4,43.4,G
152.25038,13,43.4,G
22.896902,13.6,43.4,G
18.245935,14.2,43.4,G
15.857136,14.8,43.4,G
19.86079,15.4,43.4,G
21.063679,16,43.4,G
109.20629,10,44,G
112.14375,10.6,44,G
135.06184,11.2,44,G
129.84021,11.8,44,G
116.5031,12.4,44,G
46.534706,13,44,G
43.26057,13.6,44,G
27.105396,14.2,44,G
14.214445,14.8,44,G
20.16861,15.4,44,G
24.091305,16,44,G
4.70932,10,44.6,G
173.62349,10.6,44.6,G
5.1489053,11.2,44.6,G
20.73548,11.8,44.6,G
14.927774,12.4,44.6,G
125.92859,13,44.6,G
26.399511,13.6,44.6,G
0.6929148,14.2,44.6,G
9.286302,14.8,44.6,G
7.343464,15.4,44.6,G
20.761276,16,44.6,G
104.1957,10.2,40.4,H
108.69249,10.8,40.4,H
8.242638,12,40.4,H
76.28769,12.6,40.4,H
26.985128,13.2,40.4,H
167.2745,14.4,40.4,H
126.65784,15,40.4,H
135.00723,15.6,40.4,H
107.89918,10.2,41,H
105.322556,10.8,41,H
147.48686,12,41,H
53.161297,12.6,41,H
146.17715,13.2,41,H
144.05937,13.8,41,H
145.06293,14.4,41,H
135.65009,15,41,H
132.98721,15.6,41,H
104.248924,10.2,41.6,H
109.39814,10.8,41.6,H
159.74889,11.4,41.6,H
149.70161,12,41.6,H
149.72054,12.6,41.6,H
144.61667,13.2,41.6,H
137.61226,13.8,41.6,H
129.7262,14.4,41.6,H
135.08133,15,41.6,H
138.5661,15.6,41.6,H
136.43546,10.8,42.2,H
132.05621,11.4,42.2,H
127.58021,12,42.2,H
138.7954,12.6,42.2,H
147.91443,13.2,42.2,H
137.6187,13.8,42.2,H
127.80144,14.4,42.2,H
128.58574,15,42.2,H
133.2894,15.6,42.2,H
139.02124,10.2,42.8,H
131.73378,10.8,42.8,H
130.88852,11.4,42.8,H
129.30603,12,42.8,H
129.51535,12.6,42.8,H
163.47461,13.2,42.8,H
146.52083,13.8,42.8,H
33.327976,14.4,42.8,H
18.456564,15,42.8,H
25.008461,15.6,42.8,H
136.83441,10.2,43.4,H
133.14388,10.8,43.4,H
130.27887,11.4,43.4,H
137.47725,12,43.4,H
137.34485,12.6,43.4,H
153.69438,13.2,43.4,H
23.566702,13.8,43.4,H
17.28654,14.4,43.4,H
15.9802475,15,43.4,H
22.655628,15.6,43.4,H
106.54032,10.2,44,H
125.88385,10.8,44,H
132.1122,11.4,44,H
133.66458,12,44,H
114.68036,12.6,44,H
44.274593,13.2,44,H
45.82661,13.8,44,H
23.400713,14.4,44,H
14.940983,15,44,H
23.43756,15.6,44,H
179.12955,10.2,44.6,H
175.13676,10.8,44.6,H
12.734621,11.4,44.6,H
22.078491,12,44.6,H
117.34274,12.6,44.6,H
21.231377,13.2,44.6,H
10.737721,13.8,44.6,H
4.3651695,14.4,44.6,H
8.970701,15,44.6,H
11.840104,15.6,44.6,H
104.0408,10.4,40.4,I
112.18531,11,40.4,I
116.17032,12.2,40.4,I
85.752396,12.8,40.4,I
141.04192,14.6,40.4,I
128.92786,15.2,40.4,I
132.60628,15.8,40.4,I
106.61588,10.4,41,I
105.18928,11,41,I
153.52011,11.6,41,I
11.577863,12.2,41,I
101.9842,12.8,41,I
147.29074,13.4,41,I
144.03545,14,41,I
144.19379,14.6,41,I
134.97372,15.2,41,I
134.07336,15.8,41,I
102.569885,10.4,41.6,I
161.73808,11.6,41.6,I
151.8129,12.2,41.6,I
154.14365,12.8,41.6,I
142.95709,13.4,41.6,I
134.74118,14,41.6,I
130.72,14.6,41.6,I
137.31618,15.2,41.6,I
138.73227,15.8,41.6,I
137.68208,11,42.2,I
128.14319,11.6,42.2,I
119.25877,12.2,42.2,I
136.38002,12.8,42.2,I
144.627,13.4,42.2,I
133.5662,14,42.2,I
126.63736,14.6,42.2,I
130.14029,15.2,42.2,I
152.26935,15.8,42.2,I
136.24628,10.4,42.8,I
131.16525,11,42.8,I
131.95586,11.6,42.8,I
127.58249,12.2,42.8,I
132.87384,12.8,42.8,I
149.63617,13.4,42.8,I
100.04873,14,42.8,I
18.12294,14.6,42.8,I
21.437567,15.2,42.8,I
28.789762,15.8,42.8,I
135.98366,10.4,43.4,I
131.31578,11,43.4,I
133.27295,11.6,43.4,I
137.2706,12.2,43.4,I
142.38127,12.8,43.4,I
178.82584,13.4,43.4,I
21.940111,14,43.4,I
15.742568,14.6,43.4,I
16.770144,15.2,43.4,I
24.005457,15.8,43.4,I
104.86994,10.4,44,I
138.97952,11,44,I
129.6669,11.6,44,I
147.93243,12.2,44,I
95.67743,12.8,44,I
45.321262,13.4,44,I
37.456593,14,44,I
21.080114,14.6,44,I
12.970856,15.2,44,I
25.505987,15.8,44,I
170.32631,10.4,44.6,I
173.62386,11,44.6,I
18.813997,11.6,44.6,I
20.35633,12.2,44.6,I
138.26862,12.8,44.6,I
27.16492,13.4,44.6,I
1.4511763,14,44.6,I
5.353768,14.6,44.6,I
10.40522,15.2,44.6,I
15.690873,15.8,44.6,I
