AZI_PRED_A,LON,LAT,SET,AZI_PRED_B,,,
136.62085,13.6,42,D,136,0.62085,,
127.54146,14.8,42,D,127,0.54146,,
153.48512,12.8,41.4,F,154,0.51488,,
135.51292,13.8,42,E,136,0.48708,,
135.51793,14,41.4,F,136,0.48207,,
153.57625,12.2,41.4,F,154,0.42375,,
144.627,13.4,42.2,I,145,0.373,,
129.7262,14.4,41.6,H,130,0.2738,,
43.26057,13.6,44,G,43,0.26057,,
129.80276,14.4,41.8,B,130,0.19724,,
15.857136,14.8,43.4,G,16,0.142864,,
132.87384,12.8,42.8,I,133,0.12616,,
145.12029,13.8,42.6,E,145,0.12029,,
121.11229,14.2,42.4,A,121,0.11229,,
147.91443,13.2,42.2,H,148,0.08557,,
147.93243,12.2,44,I,148,0.06757,,
