SHAZI,Lat,Lon,CONF90%,ANNU,WSM_DATA,CLUSTERS
145,42.400,13.600,5.000,1,27,27
145,42.400,13.800,9.000,1,7,7
145,42.400,14.000,9.000,1,8,8
121,42.400,14.200,27.000,1,9,9
121,42.400,14.400,25.000,1,6,6
121,42.400,14.600,15.000,1,4,4
127,42.400,14.800,12.000,2,22,19
136,42.400,15.000,13.000,2,18,15
127,42.400,15.200,19.000,2,11,9
142,42.400,15.400,22.000,2,9,7
130,42.400,15.600,15.000,3,53,25
130,42.400,15.800,23.000,3,36,19
172,42.400,16.000,35.000,2,11,10
166,42.600,10.800,41.000,3,18,12
178,42.600,11.000,47.000,3,18,12
151,42.600,11.200,20.000,2,11,8
148,42.600,11.400,26.000,2,12,9
151,42.600,11.600,16.000,1,4,4
151,42.600,11.800,10.000,1,6,6
154,42.600,12.000,13.000,1,5,5
121,42.600,12.200,36.000,2,17,14
121,42.600,12.400,30.000,2,35,18
145,42.600,12.600,10.000,2,82,27
121,42.600,12.800,25.000,1,3,3
157,42.600,13.000,8.000,1,18,18
151,42.600,13.200,5.000,1,38,38
151,42.600,13.400,5.000,1,33,33
151,42.600,13.600,8.000,1,9,9
145,42.600,13.800,10.000,1,5,5
145,42.600,14.000,10.000,1,7,7
145,42.600,14.200,42.000,1,5,5
118,42.600,14.400,14.000,1,7,7
124,42.600,14.600,15.000,1,3,3
124,42.600,14.800,11.000,2,19,16
121,42.600,15.000,14.000,2,9,8
124,42.600,15.200,26.000,2,9,8
22,42.600,15.400,42.000,2,10,9
13,42.600,15.600,24.000,2,8,6
31,42.600,15.800,17.000,2,8,6
28,42.600,16.000,25.000,2,7,7
166,42.800,10.000,54.000,3,8,7
166,42.800,10.200,54.000,3,8,7
154,42.800,10.400,39.000,3,10,9
1,42.800,10.800,59.000,2,6,5
1,42.800,11.000,54.000,2,10,8
1,42.800,11.200,30.000,2,12,9
142,42.800,11.400,23.000,1,4,4
142,42.800,11.600,18.000,1,6,6
142,42.800,11.800,17.000,1,8,8
145,42.800,12.000,40.000,1,4,4
148,42.800,12.200,13.000,2,34,23
154,42.800,12.400,9.000,2,69,25
121,42.800,12.600,59.000,1,5,5
133,42.800,12.800,5.000,1,29,29
151,42.800,13.000,6.000,1,52,52
157,42.800,13.200,4.000,1,46,46
157,42.800,13.400,5.000,1,29,29
145,42.800,13.600,12.000,2,110,40
121,42.800,13.800,11.000,1,5,5
109,42.800,14.000,13.000,1,8,8
115,42.800,14.200,17.000,1,7,7
115,42.800,14.400,36.000,1,5,5
118,42.800,14.600,9.000,2,20,17
118,42.800,14.800,10.000,2,16,13
19,42.800,15.200,19.000,2,18,9
28,42.800,15.400,16.000,2,16,8
28,42.800,15.600,16.000,2,16,8
31,42.800,15.800,13.000,2,17,10
25,42.800,16.000,16.000,2,6,4
166,43.000,10.000,54.000,3,8,7
79,43.000,10.200,55.000,2,4,3
121,43.000,10.400,43.000,3,10,9
118,43.000,10.600,41.000,3,15,12
115,43.000,10.800,24.000,1,3,3
1,43.000,11.000,22.000,2,9,7
148,43.000,11.200,26.000,3,22,15
145,43.000,11.400,36.000,2,14,11
142,43.000,11.600,37.000,1,5,5
106,43.000,11.800,27.000,1,3,3
157,43.000,12.000,14.000,2,23,17
148,43.000,12.200,20.000,2,51,21
172,43.000,12.400,15.000,1,4,4
148,43.000,12.600,6.000,1,24,24
142,43.000,12.800,5.000,1,49,49
145,43.000,13.000,5.000,1,54,54
154,43.000,13.200,5.000,1,34,34
157,43.000,13.400,8.000,1,10,10
40,43.000,13.600,51.000,1,5,5
118,43.000,13.800,19.000,1,7,7
106,43.000,14.000,15.000,1,9,9
76,43.000,14.200,24.000,1,6,6
115,43.000,14.400,19.000,2,18,16
94,43.000,14.600,22.000,2,11,10
118,43.000,14.800,29.000,2,15,8
40,43.000,15.000,21.000,2,18,11
16,43.000,15.200,11.000,1,4,4
16,43.000,15.400,8.000,1,10,10
13,43.000,15.600,10.000,1,6,6
31,43.000,15.800,16.000,2,14,7
31,43.000,16.000,15.000,2,13,7
154,43.200,10.000,41.000,3,8,7
118,43.200,10.200,39.000,2,6,5
166,43.200,10.400,49.000,2,8,7
115,43.200,10.600,35.000,1,4,4
118,43.200,10.800,47.000,2,7,7
118,43.200,11.000,50.000,2,8,7
124,43.200,11.200,56.000,2,13,10
121,43.200,11.400,47.000,2,14,10
145,43.200,11.600,26.000,2,11,8
133,43.200,11.800,21.000,2,14,9
145,43.200,12.000,19.000,2,24,15
145,43.200,12.200,9.000,1,5,5
145,43.200,12.400,9.000,1,12,12
148,43.200,12.600,6.000,1,18,18
148,43.200,12.800,7.000,1,26,26
148,43.200,13.000,6.000,1,20,20
157,43.200,13.200,10.000,1,9,9
160,43.200,13.400,15.000,2,97,39
52,43.200,13.600,29.000,1,6,6
52,43.200,13.800,14.000,1,9,9
52,43.200,14.000,20.000,1,7,7
58,43.200,14.200,22.000,1,5,5
115,43.200,14.400,57.000,2,16,13
61,43.200,14.600,24.000,2,10,9
55,43.200,14.800,29.000,2,12,6
40,43.200,15.000,25.000,2,13,6
16,43.200,15.200,10.000,1,8,8
16,43.200,15.400,6.000,1,12,12
16,43.200,15.600,7.000,1,10,10
43,43.200,15.800,22.000,1,3,3
22,43.200,16.000,21.000,2,10,5
124,43.400,10.000,42.000,3,18,12
118,43.400,10.200,39.000,2,6,5
124,43.400,10.400,19.000,3,22,14
121,43.400,10.600,43.000,2,9,8
115,43.400,10.800,35.000,1,4,4
133,43.400,11.000,13.000,3,35,23
124,43.400,11.200,19.000,2,8,7
169,43.400,11.400,56.000,2,8,6
166,43.400,11.600,29.000,2,7,5
133,43.400,11.800,17.000,2,14,8
145,43.400,12.000,18.000,2,19,10
145,43.400,12.200,11.000,1,5,5
142,43.400,12.400,14.000,1,8,8
130,43.400,12.600,12.000,1,9,9
130,43.400,12.800,8.000,1,6,6
157,43.400,13.000,9.000,2,66,26
160,43.400,13.200,22.000,1,4,4
136,43.400,13.400,31.000,1,3,3
52,43.400,13.600,10.000,1,9,9
49,43.400,13.800,8.000,1,9,9
49,43.400,14.000,18.000,1,4,4
37,43.400,14.200,32.000,1,3,3
55,43.400,14.400,10.000,2,12,10
49,43.400,14.600,25.000,2,4,4
16,43.400,14.800,36.000,2,6,3
19,43.400,15.000,29.000,2,13,6
16,43.400,15.200,24.000,2,12,5
19,43.400,15.400,25.000,2,12,5
22,43.400,15.600,23.000,2,12,5
19,43.400,15.800,22.000,2,12,5
22,43.400,16.000,21.000,2,8,5
121,43.600,10.000,18.000,3,21,13
121,43.600,10.200,20.000,3,28,18
121,43.600,10.400,19.000,2,7,6
121,43.600,10.600,12.000,2,11,9
121,43.600,10.800,25.000,2,11,9
121,43.600,11.000,10.000,2,12,10
121,43.600,11.200,10.000,2,12,10
127,43.600,11.400,10.000,2,18,14
127,43.600,11.600,15.000,2,17,11
133,43.600,11.800,16.000,2,18,12
133,43.600,12.000,23.000,1,3,3
130,43.600,12.200,14.000,1,5,5
118,43.600,12.400,22.000,1,4,4
157,43.600,12.600,11.000,2,29,17
160,43.600,12.800,8.000,2,30,20
169,43.600,13.000,15.000,1,4,4
169,43.600,13.200,23.000,1,3,3
160,43.600,13.400,22.000,1,4,4
52,43.600,13.600,11.000,1,6,6
52,43.600,13.800,11.000,1,5,5
46,43.600,14.000,11.000,1,5,5
46,43.600,14.200,12.000,2,11,7
49,43.600,14.400,13.000,2,9,6
46,43.600,14.600,22.000,3,34,14
46,43.600,14.800,23.000,3,28,12
34,43.600,15.000,34.000,3,19,7
40,43.600,15.200,31.000,2,9,4
16,43.600,15.400,24.000,2,11,5
19,43.600,15.600,22.000,2,11,5
40,43.600,15.800,33.000,2,4,4
22,43.600,16.000,32.000,3,12,3
121,43.800,10.000,12.000,2,11,9
121,43.800,10.200,12.000,2,13,10
121,43.800,10.400,12.000,2,14,10
124,43.800,10.600,10.000,2,17,12
124,43.800,10.800,11.000,2,16,11
121,43.800,11.000,12.000,2,14,10
121,43.800,11.200,11.000,1,3,3
124,43.800,11.400,8.000,2,19,14
124,43.800,11.600,11.000,2,26,17
127,43.800,11.800,9.000,1,7,7
127,43.800,12.000,9.000,1,10,10
145,43.800,12.200,14.000,1,8,8
115,43.800,12.400,51.000,1,3,3
151,43.800,12.600,33.000,2,25,20
133,43.800,12.800,26.000,2,21,16
52,43.800,13.000,47.000,2,16,13
52,43.800,13.200,10.000,1,6,6
46,43.800,13.400,9.000,1,5,5
43,43.800,13.600,9.000,2,18,12
40,43.800,13.800,11.000,2,15,10
43,43.800,14.000,11.000,2,10,7
40,43.800,14.200,16.000,2,8,5
55,43.800,14.400,14.000,3,22,11
49,43.800,14.600,22.000,3,15,7
46,43.800,14.800,22.000,3,21,8
16,43.800,15.000,34.000,3,15,5
43,43.800,15.200,39.000,3,13,4
16,43.800,15.400,35.000,3,12,3
19,43.800,15.600,35.000,3,12,3
19,43.800,15.800,35.000,3,12,3
19,43.800,16.000,35.000,3,11,3
124,44.000,10.000,15.000,1,4,4
109,44.000,10.200,13.000,1,4,4
127,44.000,10.400,31.000,1,3,3
127,44.000,10.600,13.000,1,5,5
130,44.000,10.800,14.000,1,4,4
130,44.000,11.000,12.000,1,4,4
127,44.000,11.200,14.000,1,4,4
121,44.000,11.400,12.000,1,6,6
124,44.000,11.600,9.000,1,8,8
124,44.000,11.800,15.000,1,12,12
124,44.000,12.000,26.000,2,36,32
148,44.000,12.200,44.000,1,12,12
100,44.000,12.400,20.000,1,6,6
151,44.000,12.600,29.000,1,3,3
46,44.000,12.800,10.000,2,21,18
40,44.000,13.000,11.000,1,4,4
43,44.000,13.200,8.000,1,7,7
46,44.000,13.400,9.000,1,5,5
43,44.000,13.600,11.000,1,4,4
43,44.000,13.800,11.000,2,11,7
46,44.000,14.000,13.000,2,8,5
49,44.000,14.200,15.000,3,20,9
46,44.000,14.400,15.000,3,15,6
49,44.000,14.600,19.000,3,9,5
16,44.000,15.200,35.000,3,6,3
19,44.000,15.400,34.000,3,8,3
19,44.000,15.600,35.000,3,6,3
121,44.200,10.000,14.000,1,8,8
118,44.200,10.200,12.000,1,9,9
115,44.200,10.400,10.000,1,10,10
133,44.200,10.600,16.000,1,9,9
136,44.200,10.800,17.000,1,8,8
133,44.200,11.000,18.000,1,7,7
127,44.200,11.200,13.000,1,5,5
127,44.200,11.400,14.000,1,7,7
157,44.200,11.600,18.000,1,5,5
37,44.200,11.800,9.000,1,13,13
37,44.200,12.000,8.000,1,13,13
43,44.200,12.200,10.000,1,11,11
46,44.200,12.400,26.000,1,8,8
109,44.200,12.600,30.000,1,4,4
46,44.200,12.800,8.000,2,20,17
40,44.200,13.000,10.000,1,3,3
40,44.200,13.200,10.000,1,3,3
46,44.200,13.400,11.000,2,9,6
46,44.200,13.600,14.000,2,8,4
46,44.200,13.800,14.000,2,7,4
46,44.200,14.000,14.000,3,15,6
46,44.200,14.200,17.000,3,13,4
46,44.200,14.400,17.000,3,10,4
127,44.400,10.000,16.000,2,30,24
22,44.400,10.200,14.000,1,4,4
19,44.400,10.400,8.000,1,7,7
16,44.400,10.600,9.000,1,8,8
10,44.400,10.800,25.000,1,8,8
154,44.400,11.000,23.000,1,5,5
157,44.400,11.200,16.000,2,45,28
16,44.400,11.400,30.000,2,36,24
10,44.400,11.600,28.000,2,34,24
19,44.400,11.800,15.000,1,5,5
37,44.400,12.000,13.000,1,8,8
16,44.400,12.200,10.000,1,7,7
46,44.400,12.400,27.000,1,3,3
43,44.400,12.600,11.000,2,22,18
43,44.400,12.800,17.000,2,12,10
43,44.400,13.000,11.000,2,7,5
46,44.400,13.200,11.000,2,8,4
46,44.400,13.400,17.000,2,7,3
46,44.400,13.600,16.000,2,6,3
46,44.400,13.800,17.000,3,13,5
43,44.400,14.000,26.000,3,11,3
55,44.400,14.200,20.000,3,8,4
7,44.600,10.000,32.000,1,4,4
10,44.600,10.200,13.000,1,9,9
10,44.600,10.400,11.000,1,9,9
13,44.600,10.600,8.000,1,12,12
172,44.600,10.800,19.000,1,8,8
13,44.600,11.000,14.000,2,50,30
13,44.600,11.200,19.000,2,40,22
16,44.600,11.400,18.000,2,38,23
16,44.600,11.600,12.000,2,31,19
19,44.600,11.800,14.000,2,28,19
43,44.600,12.000,16.000,2,22,17
10,44.600,12.200,35.000,1,3,3
43,44.600,12.400,16.000,2,18,16
46,44.600,12.600,59.000,2,8,8
43,44.600,12.800,26.000,2,6,5
43,44.600,13.000,44.000,2,4,3
46,44.600,13.200,15.000,3,20,12
46,44.600,13.400,23.000,3,12,6
46,44.600,13.600,15.000,3,9,4
43,44.600,13.800,24.000,3,8,3
46,44.600,14.000,22.000,3,7,3
175,44.800,10.000,18.000,1,7,7
178,44.800,10.200,23.000,1,7,7
10,44.800,10.400,20.000,1,9,9
7,44.800,10.600,10.000,1,13,13
10,44.800,10.800,7.000,1,20,20
13,44.800,11.000,6.000,1,23,23
16,44.800,11.200,5.000,1,19,19
13,44.800,11.400,9.000,1,11,11
151,44.800,11.600,15.000,1,5,5
16,44.800,11.800,14.000,2,22,15
103,44.800,12.000,34.000,1,3,3
31,44.800,12.200,20.000,2,9,8
46,44.800,12.400,32.000,2,7,7
46,44.800,12.600,30.000,2,6,6
10,44.800,12.800,36.000,2,3,3
46,44.800,13.200,50.000,3,9,4
46,44.800,13.400,50.000,3,8,4
157,45.000,10.000,56.000,1,4,4
10,45.000,10.200,11.000,2,33,24
10,45.000,10.400,52.000,1,3,3
10,45.000,10.600,18.000,1,6,6
10,45.000,10.800,8.000,1,12,12
16,45.000,11.000,5.000,1,15,15
16,45.000,11.200,5.000,1,17,17
10,45.000,11.400,14.000,1,8,8
13,45.000,11.600,33.000,1,4,4
16,45.000,11.800,37.000,2,16,10
16,45.000,12.000,25.000,3,45,21
22,45.000,12.200,26.000,3,41,19
16,45.000,12.400,40.000,3,31,18
34,45.000,12.600,26.000,3,20,15
13,45.000,13.200,47.000,3,4,3
